id,jobTitle,location,category,jobRequirements,link
0,Product Manager- Infrastructure and Security,"Petach Tikva, Israel", ,"2-3 years of experience in product management or 4-5 years of experience as functional analyst
Proven team-work skills and ability to lead cross-functional team efforts
Excellent communication skills - written, verbal and when presenting (mainly in English)
Evangelist, ability to promote new ideas and get buy-in from field teams (SE, PS, sales)
Technical experience in software development as part of an R&D team
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
Experienced and knowledgeable in managing products for large global enterprises
Proven project management skills
Ability to manage multiple tasks simultaneously and work under time pressure
Proactive, highly motivated individual with a serious work ethic and goal-oriented approach
Knowledge in SDLC (software development lifecycle) in enterprises – an advantage
Experience in information security – an advantage
Experience in cloud technology – an advantage
BSc in computer-science/engineering, or 3-5 years hands-on experience in software development – an advantage
MBA - an advantage",https://careers.cyberark.com/job/Petach-Tikva-Product-Manager-Infrastructure-and-Security/648326901/
1,Senior Backend Engineer,"Petach Tikva, Israel",  R&D,"5+ years of experience in server-side language (Python is a definite advantage)
2+ years of experience in enterprise scale application development in cloud/SaaS environment (AWS serverless architecture is a definite advantage)
Excellent design and analytical skills
High ability to use new technologies and understand them in depth through rapid self-learning
Passionate about code design, high-quality code and code reviews, optimizing and challenging the status quo
Eager to own and maintain code and push it at the highest quality and security level, including UT and automation tests
Proactive by nature; internal drive for excellence and improvement
Excellent communication skills, fluent in English, good writing skills",https://careers.cyberark.com/job/Petach-Tikva-Senior-Software-Engineer-for-Serverless-Application-%28AWS%29/647909201/
2,Program Manager,"Petach Tikva, Israel",  Product Management,"Exceptional communications, leadership, time management, facilitation, and organizational skills
Ability to effectively interact with/present to (verbally and in writing) different departments at different levels including executive level.
Thorough understanding of project/program management techniques and methods
Experience as an inbound Program Manager and/or Project Manager
Experience working in a matrix environment and standing out as a successful collaborator and team-player
Self-learner, with ability to deep dive as needed
Technical experience and knowledge of CyberArk products or Cyber Security solutions and technologies – advantage",https://careers.cyberark.com/job/Petach-Tikva-Program-Manager/648383901/
3,Cloud System Architect,"Beer Sheva, Israel",  R&D,"Bachelor’s Degree in Computer Science or Computer Engineering – a must.
Loves technology and excited about learning new stuff
Deep familiarity with cloud infrastructures and architectures – AWS, GCP and Azure
Deep knowledge and experience in big data technologies
Proven ability to work with several dev groups in Israel and abroad.
At least 8 years of experience in SW development
At least 2 years of experience as a software architect
Information security experience – an advantage
Excellent communication and presentation skills
Strong problem-solving skills",https://careers.cyberark.com/job/beer-sheva-Chief-Cloud-Architect/647923301/
4,QA Architect,"Petach Tikva, Israel",  R&D,"At least 3 years of experience in QA positions
Wide perspective of complex product solutions (business, technical, architecture)
Experience in test design and execution for complex systems (manual and automatic)
Deep understanding of QA methodologies
Comprehensive experience working in an Agile development process
Fluent English",https://careers.cyberark.com/job/Petach-Tikva-QA-Architect/650244601/
5,Legal Counsel,"Petach Tikva, Israel",  Legal,"LLB degree, member of the Israeli Bar
Mother-tongue level English, excellent communication and drafting skills
At least 3 years of relevant experience in a corporate law firm, preferably in a high-tech department; in house experience an advantage
Creative and pragmatic thinker, has strong interpersonal skills and provides excellent service to his/her clients
Consistent delivery on commitments – great organizational skills, resourceful and results-oriented
Experience in cybersecurity, privacy and M&As an advantage",https://careers.cyberark.com/job/Petach-Tikva-Legal-Counsel/644304101/
6,C++ /WIN Engineer,"Petach Tikva, Israel",  R&D,"BSc in computer-science/engineering/ Elite unit alumni
At least 1 years of experience in C++ Windows development
Innovator by nature. Thinking out of the box.
Proactive, highly motivated individual with a high work ethic and goal-oriented approach
Excellent communication and presentation skills
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
Excellent design and analytical skills, problem solver / deep troubleshooting capabilities",https://careers.cyberark.com/job/Petach-Tikva-C%2B%2B-WIN-Engineer/652560901/
7,IT Global Service Team Leader,"Petach Tikva, Israel",  IT,"  Proven work experience as a global Help desk team leader of at least 2 years
Must have good understanding of a “service business” and KPI’s
Excellent communication and customer service skills
Excellent time management skills
Excellent ability to multitask across multiple projects and prioritize in fast paced environment
Knowledge and experience in supporting development (R&D) teams
Min. of 3 years prior experience as an IT support engineer
Strong knowledge of Microsoft Windows operating system’ Microsoft Office products,
Mac operating system and Mac management – big advantage
At least 3 years of proven experience in Active directory, Office 365, VPN, Printers, Personal computing,
Exchange administration (email accounts, distribution lists, shared mailboxes, resources)
Image computers according to specification using SCCM/JAMF/MDM – big advantage
Excellent written and verbal communications skills in English
Able to work with a globally distributed team
Familiar with security products (AV, EDR etc.).
Hardworking and flexible with the ability to work under pressure",https://careers.cyberark.com/job/Petach-Tikva-IT-Global-Service-Team-Leader/645285901/
8,Automation Engineer (C# \ Python),"Petach Tikva, Israel",  R&D,"B.Sc. in Computer Science, in a related field or equivalent military experience
At least 2 years experience in hands-on automation testing development (C#, Python).
Strong ability to use new technologies and understand them in depth through rapid self-learning
Operating systems – Linux
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to woark alone
DevOps experience.
Fluent in English, good writing skills.",https://careers.cyberark.com/job/Petach-Tikva-Automation-Engineer-%28C-Python%29/652696101/
9,Automation Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded",https://careers.cyberark.com/job/Petach-Tikva-Automation-engineer-%28Recruiter-Shira-Rottensterich-shitrit%29/641007201/
10,Junior Automation Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded",https://careers.cyberark.com/job/Petach-Tikva-Junior-Automation-Engineer/652956701/
11,Order Management Specialist,"Petach Tikva, Israel",  Finance,"Bachelor's Degree in Business administration, Finance, logistics, or other related field.
Prior experience of 2-3 years in an Back-office/Finance/ Operations positions
Attention to details and good analytical skills 
Ability to Prioritize and Multi task individual responsibilities and the department’s priorities
Good problem solving as well as organizational skills 
Ability to both work effectively in a team and independently 
Proficient in Excel including VLOOKUP, PIVOTS, SUMIF
English at a high standard
Work on department Projects
Knowledge of Salesforce & Netsuite- significant advantage.",https://careers.cyberark.com/job/Petach-Tikva-Order-Management-Specialist/645921501/
12,R&D Product Owner - Endpoint Privilege Manager,"Petach Tikva, Israel",  R&D,"• Innovator by nature. Thinking out of the box.
• Excellent communication and presentation skills
• At least 8 years of experience in the software industry
• 2-3 years of experience as functional analyst/product owner/business analyst/product management, in the software industry. Experience in writing functional designs.
• Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
• Proactive, highly motivated individual with a serious work ethic and goal-oriented approach
• BSc in computer-science/engineering, or 3-5 years hands-on experience in software development
• Proven Agile experience 
• Proven management skills 
• SaaS and Endpoint Security experience – an advantage",https://careers.cyberark.com/job/Petach-Tikva-R&D-Product-Owner-Endpoint-Privilege-Manager/642557301/
13,IT Infrastructure System Administrator,"Petach Tikva, Israel",  IT,"Well experience with JAMF, SCCM and Intune management (policies and deployments)
Well experienced in end-point technologies and engineering. 
2+ years of experience in a similar role in a hi-tech company.
Ability to lead wide scale programs and complex projects
In-depth knowledge and experience of IT infrastructure including Servers, Windows, OSX, Linux and Unix based Virtualization, Storage, Networking, Cloud technologies, Mobility (MAM, MDM etc), Office 365 and modern workplace
In-depth knowledge and experience of Microsoft IT architecture
Information security oriented and strive for well architected infrastructure
Ability to handle multiple activities at the same time
Strong interpersonal skills & able to develop and maintain effective and credible relationships with business leaders and supplier management
A strong proactive and “can do” approach
A team player and a strong people person",https://careers.cyberark.com/job/Petach-Tikva-IT-Infrastructure-System-Administrator/643718701/
14,C# Software Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s degree in Science, Programming or Engineering related field / Elite unit alumni
3 years’ experience as a C# Developer
High degree of independence and commitment to high quality deliverables
Strong troubleshooting skills
Passionate to research new technologies and solutions
Great interpersonal relations, team player with strong communication skills
Fluent in English, good writing skills
Full time position
·          ",https://careers.cyberark.com/job/Petach-Tikva-C-Software-Engineer/645727101/
15,R&D Program Manager for SaaS Service,"Petach Tikva, Israel",  R&D,,https://careers.cyberark.com/job/Petach-Tikva-SaaS-Service-Program-Manager/642155801/
16,SaaS Product Manager,"Petach Tikva, Israel",  Product Management,"Minimum 3 years of experience in product management
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system
Experienced and knowledgeable in managing products for large global enterprises
Knowledge in SaaS solutions development best practices (Multi-Tenant, Data Privacy, Telemetry, Cost, etc.)
Ability to manage multiple tasks simultaneously and work under time pressure
Knowledge in SDLC (software development lifecycle) in enterprises
Innovator by nature. Ability to think out of the box and enjoy uncharted waters
Proactive, highly motivated individual with a serious work ethic
Ability to work effectively with the business, good understanding of business needs
Evangelism, pusher and experience in the field (working and training with AE, PS, SE)
Proven ability to succeed in a cross-functional team environment
Excellent communication and presentation skills (mainly in English)
Willingness to travel (4-6 times a year, not during COVID)
Experience in information security – an advantage
BSc in computer-science/engineering, or 3-5 years hands-on experience in software development or solution engineering – an advantage",https://careers.cyberark.com/job/Petach-Tikva-SaaS-Product-Manager/648368901/
17,Java/Python Backend Engineer,"Petach Tikva, Israel",  R&D,"5+ years of experience in Java development
Cloud development knowledge and experience (AWS – an advantage)
Experience with microservice design and development.
Experience with a wide range of platforms (Windows, Linux).",https://careers.cyberark.com/job/Petach-Tikva-Java-Backend-Software-Engineer/622698701/
18,R&D Team Leader,"Petach Tikva, Israel",  R&D,"7 years hands-on experience in software development.
5 years of experience as a leader of a development team.
10+ years of experience in the software industry.
Proven Agile experience.
Proactive, highly motivated individual with a high work ethic and goal-oriented approach.
Excellent communication and presentation skills.
Proven technical skills and self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system.
Innovator by nature. Thinking out of the box.
Ability to identify and manage risks, bottlenecks and challenges ahead of time, and finding solutions to resolve them.
Enthusiastic about code quality, architecture, design, testing, and performance.
Team player, highly motivated, can-do approach.
Security mindset and the ability to think like an attacker.
CI\CD best practices, tools and proven experience - an advantage.
BSc in computer-science/engineering – an advantage.
AWS knowledge and experience – an advantage.",https://careers.cyberark.com/job/Petach-Tikva-R&D-Team-Leader/647941101/
19,R&D Group Manager,"Beer Sheva, Israel",  R&D,"Strong leadership and ownership characters.
Ability to initiate and lead large scale processes to completion.
Proven technical skills and self-learning ability.
Excellent communication and presentation skills
At least 10 years of experience in the software industry
5 years hands-on experience in software development
3 years of experience as a manager of multiple development teams
Experience and knowledge in large cloud-based systems
Experience and knowledge in Cloud services (AWS, Azure and GCP) – an advantage
BSc in computer-science/engineering – an advantage
Information security experience – an advantage",https://careers.cyberark.com/job/Beer-Sheva-R&D-Group-Manager/652583801/
20,Cloud&DevOps Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded
Strong ability to share experience with and from others
Fluent in English, good writing skills.",https://careers.cyberark.com/job/Petach-Tikva-Cloud-Deployment-Engineer/641730401/
21,Senior DevOps Engineer,"Petach Tikva, Israel",  R&D,"3+ years of hands-on experience working as Software, DevOps or infrastructure developer",https://careers.cyberark.com/job/Petach-Tikva-Senior-DevOps-Engineer/649616201/
22,Python Automation Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded",https://careers.cyberark.com/job/Petach-Tikva-Python-Automation-Engineer/649636901/
23,Test Automation Engineer,"Petach Tikva, Israel", ,"Bachelor’s Degree in Computer Science or related field
Strong understanding of computer programming, software design and development
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Self-motivated, fast learner, original thinker, creative, open minded
At least 1-2 year experience in hands-on automation testing development (Java, C#).
Operating systems – Windows, Linux
Fluent in English, good writing skills.",https://careers.cyberark.com/job/Petach-Tikva-Junior-Automation-Engineer/649008701/
24,Malware Research Team Leader,"Petach Tikva, Israel",  R&D,"Previous experience as a team leader 
6 + years of experience in information security, threat intelligence, and malware research.
In-depth knowledge of the inner-workings of operating systems, enterprise-level applications.
In-depth knowledge of malware techniques and threat groups activity.
Experience in reverse engineering.
Experience with disassemblers/debuggers (x64dbg, WinDbg, IDA Pro, Ghidra, r2).",https://careers.cyberark.com/job/Cyber-Research-Team-leader/602179501/
25,R&D Security Architect,"Petach Tikva, Israel",  R&D,"Secure Software Development Life Cycle
Secure development and coding practices
Security testing and assurance
Security architecture and design
Severity assessment and Risk management
Threat Modeling
Security reviews for Code/Design/Architecture and requirements",https://careers.cyberark.com/job/Petah-Tikva-R&D-Security-Architect/602678301/
26,Java & Angular Full Stack Engineer,"Petach Tikva, Israel",  R&D,"Computer Science degree or Elite alumni graduate or similar experience
5+ years of experience building highly-scalable, interactive backend applications using Java Spring or Spring Boot and interacting with web applications using Angular 2+.
Proactive, highly motivated individual with a high work ethic and goal-oriented approach
Ability to lead complex technical challenges (high technical capabilities and independence, excellent design and analytical skills)
High ability to adopt new technologies and understand them in depth through rapid self-learning
Creative thinking & problem solving
Great interpersonal relations, team player",https://careers.cyberark.com/job/Petach-Tikva-Java-&-Angular-Full-Stack-Engineer/640167701/
27,Human Resources Information System Analyst,"Petach Tikva, Israel",  HR & Admin,"  Bachelor's degree in Business, IT, or related field (or equivalent combination of education and experience)
Experience working with SuccessFactors, or similar systems – a must
System oriented - self-learning ability, capable of thoroughly understanding the functional and technical aspects of a complex system.
Good analytical skills
Experience working in a global environment
Experience in HR reporting and analytics - an advantage
Out of the box thinking
Ability to work in a team-oriented environment and have the confidence to communicate effectively with a wide range of stakeholders cross functionally at all levels in the company
Highly organized and strong capability for multi-tasking
Attention to detail and a continuous improvement mind-set are considered essential qualities
Independent thinking, proactive, a highly motivated individual with a strong work ethic and goal-oriented approach
Excellent written and verbal communication skills, in both Hebrew and English",https://careers.cyberark.com/job/Petach-Tikva-Human-Resources-Information-System-Analyst/640151201/
28,Applicative DBA SQL Server,"Petach Tikva, Israel",  R&D,"At least 5 years of experience as SQL Server applicative DBA.
Advanced experience in performance tuning and system analysis
Experience with databases with a very high transactions volume
Experience with handling huge amount of data.  
Knowledge and Experience with Installations, Backup and Restores, Monitoring SQL Versions 2016 and beyond.
Curiosity and ability to learn new technologies and tool sets.
Strong problem-solving skills.
Proactive by nature, internal drive for excellence and improvement.
Ability to carry out monitoring and performance metrics analysis using common monitoring tools (e.g., ELK or Prometheus and Grafana)
Good interpersonal skills.
Good English. ",https://careers.cyberark.com/job/Petach-Tikva-Applicative-DBA-SQL-Server-Israel/635843701/
29,Threat Research Intern,"Petah Tikva, Israel",  R&D,"Cum Laude computer-science/engineering student with at least 2-3 semesters left.
Past experience in malware analysis, threat hunting or incident response.
Past experience in host forensics and familiarity with IDS technology.
Past experience in writing analysis reports.",https://careers.cyberark.com/job/Petah-Tikva-Threat-Research-Intern/647133101/
30,Information Security Architect,"Petach Tikva, Israel",  IT,"At least 5 years as a security engineer/ architect
Experience in creating a technology roadmap
Led large scale IT security projects
Experience in cloud security (Azure and/or AWS Apps, SaaS platforms such as SalesForce).
Experienced in B2B, B2C, API management information security design and solutions – a plus
Experience in hardening and virtualization systems, with strong technical understanding of operating system.
Experience in network architecture and firewalls design and review.
Very good understanding of security industry standards and best practices.
Experience in CyberArk products is a plus.
Experience in vulnerability scanners (preferably Nessus) and as a minimum basic understanding of common vulnerabilities, including OWASP Top10.
A team player with a good interpersonal communication skills and an ability to work well with others.",https://careers.cyberark.com/job/Petach-Tikva-Information-Security-Architect/640148601/
31,Backend Software Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Science, Programming or Engineering related field / Elite unit alumni
5+ years of experience in Ruby\Java\C#\C++\Python\Go\Node
Backend server programming (multithreaded programming, performance tuning)
Excellent design and analytical skills
High ability to use new technologies and understand them in depth through rapid self-learning
Thorough and methodical approach to any task
Proactive by nature; internal drive for excellence and improvement
Creative, out of the box thinking
Great interpersonal relations, team player",https://careers.cyberark.com/job/Petach-Tikva-Backend-Software-Engineer/614558601/
32,Security Analyst,"Petach Tikva, Israel",  IT,"At least 3 years of experience as a SOC operator – a must
At least 2 years of experience in security analysis in a high tech company – a must
Excellent understanding and proven hands-on experience with a leading SIEM system (defining and building correlation, aggregation, normalization and parsing)
Proven experience in connecting SIEM to cloud resources or working with AWS security tools – an advantage
Strong understanding of security principles, policies and industry best practices
Networking knowledge – understand networking essentials, components, data flows, architecture, ports and protocols, wireless, etc.
General operating system knowledge– Solid understanding and practical experience in various flavors of Windows and Linux, OS configuration, file system structures, OS components, mobile operating systems etc. 
Scripting/coding experience (Python, Perl, Ruby, Bash, PowerShell, .NET, HTML5, PHP etc.) for developing, extending or modifying exploits, shellcode or exploit tools
Hands-on experience in static and dynamic malware analysis
Excellent problem solving/analytical skills
Excellent communication and interpersonal skills
A team player – working in a global team
Ability to work in a multi tasking environment
Availability – the job requires high availability",https://careers.cyberark.com/job/Petach-Tikva-SOC-Analyst/629097301/
33,Senior IT Specialist,"Petach Tikva, Israel",  R&D,"5+ years of experience in a similar role in a hi-tech company.
Well experienced with Management & Control products (Manage-Engine, Zabbix etc…)  and Intune management (policies and deployments)
In-depth knowledge and experience of network and security maintain and configure (Cisco, Dell, Checkpoint NGX, NSX)
Well experienced in end-point technologies and engineering. 
Ability to lead wide scale programs and complex projects
In-depth knowledge and experience of IT infrastructure including Servers, Windows, OSX, Linux and Unix based Virtualization, Storage, Networking, Cloud technologies, Office 365, Veeam, VMware suite, NetApp
Knowledge – configure and maintain All cloud base infrastructure vendors aka AWS, Azure, GCP
Knowledge in object-oriented code languages (basic and understanding)
In-depth knowledge and experience of Microsoft IT architecture (Active Directory + PKI)
Information security oriented and strive for well architected infrastructure, familiar with AV & EDR products
Familiar with Atlassian products + slack - advantage
Ability to handle multiple activities at the same time
Strong interpersonal skills & able to develop and maintain effective and credible relationships with business leaders and supplier management
A strong “passion” for technology, proactivity and responsibility.
A team player and Self-learning ability.",https://careers.cyberark.com/job/Petach-Tikva-Senior-IT-Specialist/650913801/
34,R&D Escalation Engineer,"Petach Tikva, Israel",  R&D,"If you are  
·       Passionate about solving customer facing issues  
·       Self-learner, with great technical skills and high attention to details  
·       Courageous enough to deep dive into a big project, loves troubleshooting and able to perform efficient root cause analysis 
·       Eager to work and collaborate with support and customers to troubleshoot and solve issues 
·       A Software Engineer with 3 or more years of experience in C++ ",https://careers.cyberark.com/job/Petach-Tikva-R&D-Escalation-Engineer/654493001/
35,Linux Developer,"Petach Tikva, Israel",  R&D,"5 years of experience with modern C/C++(11/14/17)
Experience in Software Design and Architecture
Experience with developing Multi-Threaded Application
In-depth knowledge of Linux operating system internals
Highly independent, fast & self-learner
Experience in Linux Kernel development
Knowledge of Go language – advantage.
Strong security skills - Advantage
Knowledge of threat detection approaches – Advantage
Malware analysis experience – Advantage",https://careers.cyberark.com/job/Petach-Tikva-Linux-Developer/653127001/
36,R&D DevOps Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or related field
Strong ability to use new technologies and understand them in depth through rapid self-learning
Excellent design, analytical and strong troubleshooting ability
Proactive by nature; internal drive for excellence and improvement
Great interpersonal relations, open and communicative team player while also having the ability to work alone
Original thinker, creative, open minded
Strong ability to share experience with and from others
Fluent in English, good writing skills.",https://careers.cyberark.com/job/Petach-Tikva-R&D-DevOps-Engineer/651018201/
37,C# Developer,"Petach Tikva, Israel",  R&D,"  Bachelor’s degree in Science, Programming or Engineering related field / Elite unit alumni
3+ years’ experience building highly scalable software
Experience in architecture and design
Proficiency with C#, Experience with Web and Rest APIs
High degree of independence and commitment to high quality deliverables
Passionate to research new technologies and solutions
Excellent analytical and troubleshooting skills
Great interpersonal relations, team player with strong communication skills
Fluent in English, good writing skills
Full time position",https://careers.cyberark.com/job/Petach-Tikva-C-Developer/653671501/
38,Senior C++ Software Engineer,"Petach Tikva, Israel",  R&D,"Passionate about code design, high-quality code and code reviews, love refactoring, optimizing and challenging the status quo.
Eager to own and maintain code and push it at the highest quality and security level, including UT and automation tests.
Capable and courageous enough to deep dive into complex areas in the system, analyze them, suggest solutions and make necessary changes.
An alumnus with a BSc in computer-science/engineering or from an elite unit
A Software Engineer with 5 or more years of C++ development.
Experienced in building and maintaining scalable, fault-tolerant, high-load, distributed systems.
Experienced with relational databases, in particular MySQL, including writing and optimizing queries.",https://careers.cyberark.com/job/Petach-Tikva-Senior-Software-Engineer/625656401/
39,Software Engineer,"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Science, Programming or Engineering related field / Elite unit alumni
5+ years of experience in Java\C#\C++
Backend server programming (multithreaded programming, performance tuning)
Excellent design and analytical skills
High ability to use new technologies and understand them in depth through rapid self-learning
Thorough and methodical approach to any task
Proactive by nature; internal drive for excellence and improvement
Creative, out of the box thinking
Great interpersonal relations, team player",https://careers.cyberark.com/job/Petach-Tikva-Software-Engineer/643977901/
40,Senior Software Engineer for Serverless Application (AWS),"Petach Tikva, Israel",  R&D,"Bachelor’s Degree in Computer Science or Engineering related field / technology Elite unit alumni with relevant experience
5+ years of experience in Python/Go/ Node/Ruby/Java/C#/C++ (Python is a definite advantage)
Desire to use new technologies and understand them in depth
Passionate about code design, high-quality code and code reviews, optimizing and challenging the status quo.
Proactive by nature; internal drive for excellence and improvement
Good communication skills, fluent in English, good writing skills",https://careers.cyberark.com/job/Petach-Tikva-Senior-Python-Engineer/640331301/
41,DevOps Engineer,"Petach Tikva, Israel",  R&D,"3+ years of experience as a DevOps engineer
Experience automating deployments with modern configuration and deployment management systems (e.g. Ansible, Puppet, Chef, Docker, Kubernetes etc.).
Experience with CI solutions and source control management tools  (e.g. Jenkins, Git).
Knowledge in AWS Cloud environment
Familiarity with Serverless architecture, tools and deployment strategies
Great interpersonal relations, team player
Good script skills - Bash and Python
Strong hands-on technical abilities
Proactive by nature; internal drive for excellence and improvement
Thorough and methodical approach to any task
Strong ability to use new technologies and understand them in depth through rapid self-learning
Full time position
Fluent in English, good writing skills",https://careers.cyberark.com/job/Petach-Tikva-DevOps-Engineer/640339601/
42,Technical Writer,"Petach Tikva, Israel",  Product Management,,https://careers.cyberark.com/job/Petach-Tikva-Technical-Writer/647280901/
43,Head of R&D Compliance,"Petach Tikva, Israel",  R&D,"Great technical understanding of complex systems 
Deep understanding of the compliance world, mainly around security standards
Great communication skills 
Influence without authority 
At least 5 years of experience in the SW compliance industry 
  Advantage
Solution Architect experience or similar ",https://careers.cyberark.com/job/Petach-Tikva-Cloud-System-Architect/640048601/
44,Talent Acquisition Partner,"Petach Tikva, Israel",  HR & Admin,,https://careers.cyberark.com/job/Petach-Tikva-Talent-Acquisition-Partner/655164401/
45,UI Designer,"Petach Tikva, Israel",  R&D,"Senior UI designer with over 5 years of experience
Experience in working for large organizations specialized in complex operational B2B systems
Expertise in standard UI design tools such as Figma, Sketch, Adobe.
Knowledge and experience in working with design infrastructure and components libraries
Updated portfolio  
Knowledge in UX process (an advantage)  
Relevant academic qualifications or equivalent
Fluent English",https://careers.cyberark.com/job/Petach-Tikva-UI-Designer/654124001/
46,UX Expert (Recruiter-Shira Rottensterich shitrit),"Petach Tikva, Israel",  R&D,"Minimum 5 years professional UX design experience 
Experience working as a UX team member in a large organization
Vast experience in configuring and characterizing enterprise (B2B) on-premise and cloud applications – a must
Proven ability to lead strategic UX projects across the organization, from top executives down to the last developers – a must
Excellent visualization skills and problem-solving skills with the ability to create precise mockups and detailed UX design
Excellent communication skills, self-learning and with a high-level attention to details
Experience working closely with Product Managers and UI designers
English proficiency 
Willingness to travel (2-3 times a year)",https://careers.cyberark.com/job/Petach-Tikva-UX-Expert-%28Recruiter-Shira-Rottensterich-shitrit%29/650812401/
47,IP Manager,"Petach Tikva, Israel",  R&D,,https://careers.cyberark.com/job/IP-Manager-Israel/636133301/
48,Penetration Testing Engineer,"Petach Tikva, Israel",  R&D,,https://careers.cyberark.com/job/Petach-Tikva-Penetration-Tester/640467401/
49,Assistant Controller - Revenue recognition (Recruiter-Shira Rottensterich shitrit),"Petach Tikva, Israel",  Finance,"Certified Public Accountant.
2-3 years of experience in one of the Big4.
Experience with public software companies audit - an advantage.
Experience in revenue recognition according to US GAAP.
Experience with SOX compliance- an advantage.
Highest standards of accuracy and precision; highly organized.
Outstanding attention to details and excellent time management skills.
Very strong analytical skills.
This position requires excellent interpersonal skills and excellent communication skills.
Excellent English (written and verbal).
Service oriented.",https://careers.cyberark.com/job/Petach-Tikva-Assistant-Controller-Revenue-recognition-%28Recruiter-Shira-Rottensterich-shitrit%29/652649001/
50,Enterprise Support Engineer,"Petach Tikva, Israel",  Technical Support,"At least 3 years’ experience in Technical Support or a position of similar nature in a software company.
Capable of understanding the technical aspects of a complex system.
Strong technical troubleshooting skills and problem solving. Demonstrates the ability to think through situations outside the norm and develop appropriate solutions for isolating the root cause.
Must have excellent communication skills and a passion for providing world-class service.
Experience of directly supporting enterprise-level customers.
Ability and desire to learn products and technologies.
Must be able to work independently as well as with others, as part of a domestic and international team.
Proven experience with Microsoft operating systems.
Excellent time management, decision making, prioritization and organization skills.
All communication, internal and external require high level of English.",https://careers.cyberark.com/job/Petach-Tikva-Enterprise-Support-Engineer/649083901/